Nucleus,σ_iso,σ_11,σ_22,σ_33,Symmetry
Nucleus 3H :,30.43,25.71,29.16,36.43,0
Nucleus 4H :,30.43,25.73,29.14,36.41,0
Nucleus 5H :,30.9,27.46,29.4,35.85,0
Nucleus 6H :,30.9,27.45,29.4,35.86,0
Nucleus 7H :,30.38,25.96,27.51,37.67,0
Nucleus 8H :,31.67,26.97,30.88,37.15,0
Nucleus 9H :,31.7,27.0,30.81,37.28,0
Nucleus 10H :,31.18,25.46,29.91,38.18,0
Nucleus 11H :,23.72,21.21,23.04,26.92,0
Nucleus 14H :,23.72,21.13,23.09,26.95,0
Nucleus 16H :,23.72,21.06,23.15,26.96,0
Nucleus 18H :,23.73,21.04,23.17,26.97,0
Nucleus 20H :,23.73,21.08,23.14,26.97,0
Nucleus 22H :,23.73,21.17,23.07,26.94,0
Nucleus 0C :,169.22,157.84,162.74,187.07,0
Nucleus 1C :,164.66,161.35,163.33,169.29,0
Nucleus 2C :,164.08,149.4,156.73,186.1,0
Nucleus 12C :,46.11,-71.12,32.46,177.0,0
Nucleus 13C :,46.1,-71.14,32.51,176.93,0
Nucleus 15C :,46.14,-71.04,32.59,176.88,0
Nucleus 17C :,46.17,-70.95,32.59,176.86,0
Nucleus 19C :,46.21,-70.92,32.63,176.91,0
Nucleus 21C :,46.19,-71.01,32.57,177.0,0
