Molecule,Atom,x_coord,y_coord,z_coord,sigma_iso,sigma_xx,sigma_yy,sigma_zz,dia_sigma_xx,dia_sigma_yy,dia_sigma_zz,para_sigma_xx,para_sigma_yy,para_sigma_zz,sigma_11,sigma_22,sigma_33,s_tot_symmetry,span,skew
df_cut_4_n1_opt.xyz,Nucleus 7H :,1.004732,0.618235,0.399603,28.71,34.44,26.2,25.5,45.09,24.36,20.37,-12.17,3.32,5.17,25.5,26.2,34.44,0,8.94,-0.84
df_cut_4_n1_opt.xyz,Nucleus 8H :,-0.479139,0.82372,0.426466,28.66,33.2,27.9,24.88,24.68,36.46,34.5,-8.86,-2.88,2.09,24.88,27.9,33.2,0,8.32,-0.27
df_cut_4_n1_opt.xyz,Nucleus 9H :,-1.139424,1.29359,-0.715278,25.8,29.45,26.15,21.81,45.32,29.24,30.01,-19.56,0.18,-7.79,21.81,26.15,29.45,0,7.64,0.14
df_cut_4_n1_opt.xyz,Nucleus 10H :,-2.52968,1.410024,-0.731269,25.71,21.87,27.98,27.28,45.53,32.43,18.25,-18.92,-4.64,4.48,21.87,27.28,27.98,0,6.11,0.77
df_cut_4_n1_opt.xyz,Nucleus 11H :,-3.272787,1.055261,0.391918,23.23,22.2,23.28,24.21,12.13,42.96,40.98,10.96,-20.55,-16.79,22.2,23.28,24.21,0,2.01,0.07
df_cut_4_n1_opt.xyz,Nucleus 12H :,-2.626124,0.579825,1.530644,25.8,21.81,28.17,27.42,45.81,32.78,16.52,-19.08,-4.78,6.15,21.81,27.42,28.17,0,6.36,0.76
df_cut_4_n1_opt.xyz,Nucleus 13H :,-1.23522,0.460846,1.547455,25.57,29.22,25.82,21.67,45.27,29.92,27.78,-19.88,-0.62,-5.76,21.67,25.82,29.22,0,7.55,0.1
df_cut_4_n1_opt.xyz,Nucleus 14H :,1.55352,1.498202,0.765691,28.84,33.28,28.23,25.01,24.29,37.33,34.72,2.95,-8.94,-3.82,25.01,28.23,33.28,0,8.27,-0.22
df_cut_4_n1_opt.xyz,Nucleus 19H :,1.284892,-0.237829,1.022092,30.04,34.52,30.56,25.04,39.22,30.92,22.11,-4.83,-0.33,3.03,25.04,30.56,34.52,0,9.48,0.16
df_cut_4_n1_opt.xyz,Nucleus 20H :,-0.561879,1.500165,-1.613817,30.01,34.81,30.26,24.97,41.3,24.71,25.3,-6.83,5.68,-0.13,24.97,30.26,34.81,0,9.84,0.08
df_cut_4_n1_opt.xyz,Nucleus 21H :,-3.040816,1.720907,-1.638839,30.13,33.74,28.64,28.02,38.46,25.86,28.28,2.89,0.21,-5.29,28.02,28.64,33.74,0,5.72,-0.78
df_cut_4_n1_opt.xyz,Nucleus 0C :,-4.355684,1.123424,0.370599,155.17,184.07,134.17,147.28,253.89,239.59,229.57,-112.39,-62.83,-82.3,134.17,147.28,184.07,0,49.9,-0.47
df_cut_4_n1_opt.xyz,Nucleus 1C :,-3.211788,0.241502,2.381456,39.3,172.19,-70.88,16.6,235.18,260.37,256.53,-63.48,-330.55,-240.15,-70.88,16.6,172.19,0,243.07,-0.28
df_cut_4_n1_opt.xyz,Nucleus 2C :,-0.733449,0.01944,2.405791,60.59,-42.23,69.57,154.44,266.33,257.24,241.84,-299.01,-196.23,-88.38,-42.23,69.57,154.44,0,196.67,0.14
df_cut_4_n1_opt.xyz,Nucleus 3C :,1.343908,0.40828,-0.61975,67.64,-35.2,68.96,169.15,270.13,257.64,234.46,-293.72,-199.42,-66.19,-35.2,68.96,169.15,0,204.35,0.02
df_cut_4_n1_opt.xyz,Nucleus 4C :,-2.252423,-2.845262,-1.000057,50.7,-62.78,44.33,170.54,231.94,255.89,279.16,-317.83,-234.82,-62.25,-62.78,44.33,170.54,0,233.32,-0.08
df_cut_4_n1_opt.xyz,Nucleus 5C :,-2.119497,-1.440579,-0.434821,67.24,-35.27,67.53,169.45,269.72,258.38,233.52,-294.19,-200.59,-65.14,-35.27,67.53,169.45,0,204.72,0.0
df_cut_4_n1_opt.xyz,Nucleus 6C :,-0.933706,-1.06116,-0.216238,59.34,-45.29,66.76,156.55,267.39,257.19,240.72,-301.74,-199.99,-85.55,-45.29,66.76,156.55,0,201.84,0.11
df_cut_4_n1_opt.xyz,Nucleus 15C :,-3.209874,-0.819015,-0.293313,155.31,191.58,157.04,117.31,253.91,236.42,233.38,-116.33,-81.02,-60.43,117.31,157.04,191.58,0,74.27,0.07
