Molecule,Atom,x_coord,y_coord,z_coord,sigma_iso,sigma_xx,sigma_yy,sigma_zz,dia_sigma_xx,dia_sigma_yy,dia_sigma_zz,para_sigma_xx,para_sigma_yy,para_sigma_zz,sigma_11,sigma_22,sigma_33,s_tot_symmetry,span,skew
KLaL_cation_pi_RCCE_opt_neg1p5.xyz,Nucleus 3H :,1.85056,-3.65399,-14.42354,27.48,34.49,24.83,23.12,-84.19,79.15,15.18,110.38,-49.03,10.94,23.12,24.83,34.49,0,11.37,-0.7
KLaL_cation_pi_RCCE_opt_neg1p5.xyz,Nucleus 4H :,-1.00867,-3.16908,-13.28325,26.93,23.21,27.63,29.96,-63.17,8.98,99.67,88.27,19.12,-72.09,23.21,27.63,29.96,0,6.75,0.31
KLaL_cation_pi_RCCE_opt_neg1p5.xyz,Nucleus 7H :,2.41198,-2.20461,-16.88088,24.21,29.69,20.16,22.79,-51.87,59.1,94.15,76.55,-34.07,-71.21,20.16,22.79,29.69,0,9.53,-0.45
KLaL_cation_pi_RCCE_opt_neg1p5.xyz,Nucleus 9H :,3.34765,-1.9455,-17.38756,24.75,20.5,26.42,27.34,14.47,77.62,63.21,11.32,-51.8,-40.55,20.5,26.42,27.34,0,6.84,0.73
KLaL_cation_pi_RCCE_opt_neg1p5.xyz,Nucleus 11H :,2.39691,-3.29532,-16.81784,24.16,29.66,20.16,22.66,136.21,25.44,59.12,-112.72,-0.88,-34.69,20.16,22.66,29.66,0,9.5,-0.47
KLaL_cation_pi_RCCE_opt_neg1p5.xyz,Nucleus 14H :,2.4252,-1.57784,-15.50033,26.3,22.92,29.48,26.51,98.31,54.74,11.07,-73.64,-26.88,15.31,22.92,26.51,29.48,0,6.56,0.1
KLaL_cation_pi_RCCE_opt_neg1p5.xyz,Nucleus 15H :,2.68791,-0.21348,-15.39687,27.7,34.74,25.13,23.23,136.9,35.49,57.42,-110.3,-2.6,-33.82,23.23,25.13,34.74,0,11.51,-0.67
KLaL_cation_pi_RCCE_opt_neg1p5.xyz,Nucleus 18H :,2.98968,0.34051,-16.28164,23.51,27.96,22.7,19.86,121.82,84.87,35.27,-100.08,-63.2,-8.17,19.86,22.7,27.96,0,8.1,-0.3
KLaL_cation_pi_RCCE_opt_neg1p5.xyz,Nucleus 20H :,2.57849,0.43438,-14.17723,23.79,20.0,26.05,25.31,35.26,78.59,103.7,-52.58,-83.39,-10.21,20.0,25.31,26.05,0,6.05,0.75
KLaL_cation_pi_RCCE_opt_neg1p5.xyz,Nucleus 22H :,2.82822,1.48929,-14.10622,23.78,28.31,23.22,19.8,115.01,24.9,66.41,-92.1,2.78,-45.66,19.8,23.22,28.31,0,8.51,-0.2
KLaL_cation_pi_RCCE_opt_neg1p5.xyz,Nucleus 29H :,2.14561,-0.24168,-13.06379,27.36,34.37,24.76,22.94,127.58,7.36,24.79,-99.46,23.36,-1.56,22.94,24.76,34.37,0,11.43,-0.68
KLaL_cation_pi_RCCE_opt_neg1p5.xyz,Nucleus 30H :,2.02109,0.28044,-12.11936,27.01,23.23,27.67,30.14,0.34,93.37,51.52,26.97,-68.12,-23.05,23.23,27.67,30.14,0,6.91,0.29
KLaL_cation_pi_RCCE_opt_neg1p5.xyz,Nucleus 33H :,1.85668,-1.6211,-13.12241,23.97,29.5,22.35,20.05,128.18,30.12,4.23,-103.97,-6.06,19.38,20.05,22.35,29.5,0,9.45,-0.51
KLaL_cation_pi_RCCE_opt_neg1p5.xyz,Nucleus 35H :,1.26442,-2.28521,-11.89554,24.57,20.24,26.13,27.33,85.61,-12.05,12.93,-59.6,36.19,10.62,20.24,26.13,27.33,0,7.09,0.66
KLaL_cation_pi_RCCE_opt_neg1p5.xyz,Nucleus 37H :,1.23472,-3.36627,-12.0504,24.03,29.6,20.09,22.39,-83.26,93.86,21.02,108.13,2.9,-70.56,20.09,22.39,29.6,0,9.51,-0.52
KLaL_cation_pi_RCCE_opt_neg1p5.xyz,Nucleus 40H :,1.91674,-2.09261,-11.03742,27.17,23.55,30.22,27.75,-78.31,67.62,-5.88,101.99,-38.69,34.78,23.55,27.75,30.22,0,6.67,0.26
KLaL_cation_pi_RCCE_opt_neg1p5.xyz,Nucleus 41H :,-0.11608,-1.76989,-11.58662,27.34,34.45,24.73,22.85,-122.36,57.95,-23.36,146.72,-24.33,47.41,22.85,24.73,34.45,0,11.6,-0.67
KLaL_cation_pi_RCCE_opt_neg1p5.xyz,Nucleus 44H :,-0.34726,-0.74504,-10.66249,23.64,28.15,22.9,19.86,-88.51,-20.34,64.48,109.45,44.32,-38.49,19.86,22.9,28.15,0,8.29,-0.27
KLaL_cation_pi_RCCE_opt_neg1p5.xyz,Nucleus 46H :,0.48968,-0.37756,-10.07614,23.76,19.96,26.02,25.3,70.53,-12.83,-74.03,-45.53,38.85,94.29,19.96,25.3,26.02,0,6.06,0.76
KLaL_cation_pi_RCCE_opt_neg1p5.xyz,Nucleus 48H :,-1.61623,-0.22215,-10.4753,23.6,28.12,22.95,19.74,66.88,-44.19,-5.08,-40.9,66.09,28.01,19.74,22.95,28.12,0,8.38,-0.23
KLaL_cation_pi_RCCE_opt_neg1p5.xyz,Nucleus 53H :,-1.78286,0.55559,-9.73755,11.14,40.71,-1.61,-5.69,-90.31,21.14,106.62,85.76,-22.41,-67.39,-5.69,-1.61,40.71,0,46.4,-0.82
KLaL_cation_pi_RCCE_opt_neg1p5.xyz,Nucleus 55H :,-2.67282,-0.71904,-11.20753,30.52,26.09,30.93,34.55,-0.08,38.47,110.57,26.57,-7.03,-76.93,26.09,30.93,34.55,0,8.46,0.15
